num_tris,E_exact,E_cc,E_ss
80,-0.019397008689324743,-0.019768978459359845,-0.01800712230432384
320,-0.019397008689324743,-0.0197793035746573,-0.01903192160085927
1280,-0.019397008689324743,-0.01963505810930681,-0.019304583294447293
5120,-0.019397008689324743,-0.019527362986655777,-0.019373829385297768
20480,-0.019397008689324743,-0.019464962261269852,-0.019391209290144155
81920,-0.019397008689324743,-0.01943167220689402,-0.01939555855349531
